feature_name,tier,source,train_availability,test_availability,available_after_prediction_start,target_derived,safe_for_inference,decision,leakage_risk,used_by,notes
acal_alpha,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — alpha/beta fitted strictly on prefix rows with a-priori sanity bounds,"geoanchor arms B, D",Prefix-only affine gain mapping horizontal GR onto Typewell GR.
acal_beta,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — alpha/beta fitted strictly on prefix rows with a-priori sanity bounds,"geoanchor arms B, D",Prefix-only affine offset of the horizontal-to-Typewell GR calibration.
acal_fit_rmse,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — alpha/beta fitted strictly on prefix rows with a-priori sanity bounds,"geoanchor arms B, D","Prefix residual RMS of the affine calibration, in Typewell-GR z units."
acal_prefix_corr,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — alpha/beta fitted strictly on prefix rows with a-priori sanity bounds,"geoanchor arms B, D",Pearson r between calibrated horizontal GR and Typewell GR on the visible prefix; a calibration-quality diagnostic.
acal_ok,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — alpha/beta fitted strictly on prefix rows with a-priori sanity bounds,"geoanchor arms B, D",One when the prefix affine calibration passed its sanity bounds.
acal_gr_tw_z,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — alpha/beta fitted strictly on prefix rows with a-priori sanity bounds,"geoanchor arms B, D",Horizontal GR mapped into Typewell GR space and z-scored (within-well interpolation of outages).
acal_roll_mean_51,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — alpha/beta fitted strictly on prefix rows with a-priori sanity bounds,"geoanchor arms B, D",Rolling 51-row mean of the calibrated horizontal GR.
acal_roll_std_51,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — alpha/beta fitted strictly on prefix rows with a-priori sanity bounds,"geoanchor arms B, D",Rolling 51-row std of the calibrated horizontal GR.
acal_gr_grad,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — alpha/beta fitted strictly on prefix rows with a-priori sanity bounds,"geoanchor arms B, D",Local per-foot gradient of the calibrated horizontal GR log.
mb_shift1,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D",Best constant TVT datum shift of the GR/Typewell alignment scan (ft).
mb_shift2,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D",Second-best separated datum branch (equals mb_shift1 when the scan is unimodal).
mb_shift_hedged,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D",Trust-shrunk bimodal posterior-mean datum shift: w1*shift1 + (1-w1)*shift2.
mb_sep,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D",Separation between the two branch minima (0 when unimodal).
mb_bimodal,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D",One when the scan carries two plausible branch minima.
mb_cost_gap,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D","Cost gap between the branch minima, normalised by the median scan cost."
mb_w1,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D","Effective probability of branch 1, shrunk toward 0.5 by the prefix-trust diagnostic."
mb_confidence,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D","Peak distinctiveness of the winning datum: 1 - J1/median(J), in [0, 1]."
mb_prefix_trust,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D",Prefix self-check of the scan: how close its best shift is to zero where the truth is visible.
mb_ok,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,none — datum scan scores GR versus Typewell GR only; no hidden label is readable,"geoanchor arms C, D",One when the datum scan ran with sufficient measured GR and a usable typewell.
gate_prefix_len,derived,"derived from MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Visible prefix length at the boundary.
gate_suffix_len,derived,derived from MD,yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Rows to predict past the boundary.
gate_gr_missing_suffix,derived,derived from GR,yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,GR missing fraction in the prediction region.
gate_prefix_gr_missing,derived,derived from GR,yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,GR missing fraction in the visible prefix.
gate_tvt_std_prefix,derived,derived from TVT_input (prefix only),yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Std of the visible TVT_input prefix.
gate_tvt_range_prefix,derived,derived from TVT_input (prefix only),yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Range of the visible TVT_input prefix.
gate_tvt_slope_300,derived,"derived from MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Least-squares prefix TVT slope over the last 300 ft.
gate_anchor,derived,derived from TVT_input (prefix only),yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Last known TVT before the boundary.
gate_acal_alpha,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Affine calibration gain (prefix-only fit).
gate_acal_beta,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Affine calibration offset normalised by Typewell GR std.
gate_acal_fit_rmse,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Prefix affine fit residual RMS in z units.
gate_acal_prefix_corr,derived,"derived from GR, Typewell GR, Typewell TVT, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Prefix correlation of calibrated GR with Typewell GR.
gate_mb_shift1,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Winning datum shift of the GR scan.
gate_mb_sep,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Branch separation of the GR scan (0 when unimodal).
gate_mb_cost_gap,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Normalised cost gap between scan branches.
gate_mb_confidence,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,"Datum-scan peak distinctiveness in [0, 1]."
gate_mb_bimodal,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,One when the scan is bimodal.
gate_mb_prefix_trust,derived,"derived from GR, Typewell GR, Typewell TVT, MD, TVT_input (prefix only)",yes (computed),yes (computed),yes,no,yes,USE,"none — computed from InferenceTask only, per boundary, cross-fitted by well",geoanchor arm E gate,Prefix-trust diagnostic of the datum scan.
